# parsed arguments: Namespace(benchmark='Q15046', dsl='meta_visqa', skeletons='visqa_normal', strategy='TaPas_C', fallback='auto', timeout=300, mode='abstract-only', expected_only=False)
# loading benchmark...
# table keywords: {'69', '82', 'strongly', 'neither', 'blue', 'or', 'percentage', '53', 'disagree', 'agree', 'color'}
# input type: [dtype('O'), dtype('int64'), dtype('O')]
# input is:
                       agree  percentage color
0             Strongly agree          82  blue
1  Neither agree or disagree          69  blue
2          Strongly disagree          53  blue
# query is: What do the three percentages on the three bars add up to?
# expected output type:[dtype('int64')]
# expected output is:
   ANSWER
0     204
# inferred DSL terminals:
  # ConstVal: ['Strongly agree@Str', '69@Int', 'blue@Str', 'agree@Str', 'Strongly disagree@Str', '82@Int', 'percentage@Str', '53@Int', 'Neither agree or disagree@Str', 'color@Str']
     # cmap: [(None, 'Strongly agree'), (None, 69), (None, 'blue'), (None, 'agree'), (None, 'Strongly disagree'), (None, 82), (None, 'percentage'), (None, 53), (None, 'Neither agree or disagree'), (None, 'color')]
# loading skeleton list...

# ========== candidate program report ========== #
# (t=0.00) i=0, candidate=[{'ANSWER': 82}]
  # found 541 program(s)
    # SelectCol(SelectRow0(SelectRow1(@param0, <=, 1, 82@Int), eqmax, 1), ['1'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '<=', 'percentage', 82], 'eqmax', 'percentage'], ['percentage']]
    # SelectCol(SelectRow0(SelectRow1(@param0, <=, 1, 82@Int), eqmax, 1), ['-99', '-2'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '<=', 'percentage', 82], 'eqmax', 'percentage'], ['percentage']]
    # SelectCol(SelectRow0(SelectRow1(@param0, ==, 2, blue@Str), eqmax, 1), ['1'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '==', 'color', 'blue'], 'eqmax', 'percentage'], ['percentage']]
    # SelectCol(SelectRow0(SelectRow1(@param0, ==, 2, blue@Str), eqmax, 1), ['-99', '-2'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '==', 'color', 'blue'], 'eqmax', 'percentage'], ['percentage']]
    # SelectCol(SelectRow0(SelectRow1(@param0, >=, 1, 69@Int), eqmax, 1), ['1'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '>=', 'percentage', 69], 'eqmax', 'percentage'], ['percentage']]
    # SelectCol(SelectRow0(SelectRow1(@param0, >=, 1, 69@Int), eqmax, 1), ['-99', '-2'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '>=', 'percentage', 69], 'eqmax', 'percentage'], ['percentage']]
    # SelectCol(SelectRow0(SelectRow1(@param0, >=, 1, 53@Int), eqmax, 1), ['1'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '>=', 'percentage', 53], 'eqmax', 'percentage'], ['percentage']]
    # SelectCol(SelectRow0(SelectRow1(@param0, >=, 1, 53@Int), eqmax, 1), ['-99', '-2'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '>=', 'percentage', 53], 'eqmax', 'percentage'], ['percentage']]
    # SelectCol(SelectRow0(SelectRow1(@param0, >, 1, 53@Int), eqmax, 1), ['1'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '>', 'percentage', 53], 'eqmax', 'percentage'], ['percentage']]
    # SelectCol(SelectRow0(SelectRow1(@param0, >, 1, 53@Int), eqmax, 1), ['-99', '-2'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '>', 'percentage', 53], 'eqmax', 'percentage'], ['percentage']]
    # SelectCol(SelectRow0(SelectRow1(@param0, !=, 0, 69@Int), eqmax, 1), ['1'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '!=', 'agree', 69], 'eqmax', 'percentage'], ['percentage']]
    # SelectCol(SelectRow0(SelectRow1(@param0, !=, 0, 69@Int), eqmax, 1), ['-99', '-2'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '!=', 'agree', 69], 'eqmax', 'percentage'], ['percentage']]
    # SelectCol(SelectRow0(SelectRow1(@param0, !=, 0, blue@Str), eqmax, 1), ['1'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '!=', 'agree', 'blue'], 'eqmax', 'percentage'], ['percentage']]
    # SelectCol(SelectRow0(SelectRow1(@param0, !=, 0, blue@Str), eqmax, 1), ['-99', '-2'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '!=', 'agree', 'blue'], 'eqmax', 'percentage'], ['percentage']]
    # SelectCol(SelectRow0(SelectRow1(@param0, !=, 0, agree@Str), eqmax, 1), ['1'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '!=', 'agree', 'agree'], 'eqmax', 'percentage'], ['percentage']]
    # SelectCol(SelectRow0(SelectRow1(@param0, !=, 0, agree@Str), eqmax, 1), ['-99', '-2'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '!=', 'agree', 'agree'], 'eqmax', 'percentage'], ['percentage']]
    # SelectCol(SelectRow0(SelectRow1(@param0, !=, 0, Strongly disagree@Str), eqmax, 1), ['1'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '!=', 'agree', 'Strongly disagree'], 'eqmax', 'percentage'], ['percentage']]
    # SelectCol(SelectRow0(SelectRow1(@param0, !=, 0, Strongly disagree@Str), eqmax, 1), ['-99', '-2'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '!=', 'agree', 'Strongly disagree'], 'eqmax', 'percentage'], ['percentage']]
    # SelectCol(SelectRow0(SelectRow1(@param0, !=, 0, 82@Int), eqmax, 1), ['1'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '!=', 'agree', 82], 'eqmax', 'percentage'], ['percentage']]
    # SelectCol(SelectRow0(SelectRow1(@param0, !=, 0, 82@Int), eqmax, 1), ['-99', '-2'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '!=', 'agree', 82], 'eqmax', 'percentage'], ['percentage']]
