# parsed arguments: Namespace(benchmark='Q9559d', dsl='meta_visqa', skeletons='visqa_normal', strategy='TaPas_C', fallback='auto', timeout=300, mode='abstract-only', expected_only=False)
# loading benchmark...
# table keywords: {'31', 'race', 'percent', 'african', 'blue', '44', '23', 'american', 'latino', 'white', 'color'}
# input type: [dtype('O'), dtype('int64'), dtype('O')]
# input is:
               race  percent color
0             White       44  blue
1  African American       31  blue
2            Latino       23  blue
# query is: What percent of african americans have employer pensions?
# expected output type:[dtype('int64')]
# expected output is:
   ANSWER
0      31
# inferred DSL terminals:
  # ConstVal: ['race@Str', 'White@Str', 'percent@Str', '44@Int', 'blue@Str', 'African American@Str', '23@Int', 'color@Str', 'Latino@Str', '31@Int']
     # cmap: [(None, 'race'), (None, 'White'), (None, 'percent'), (None, 44), (None, 'blue'), (None, 'African American'), (None, 23), (None, 'color'), (None, 'Latino'), (None, 31)]
# loading skeleton list...

# ========== candidate program report ========== #
# (t=0.00) i=0, candidate=[{'ANSWER': 31}]
  # found 236 program(s)
    # SelectCol(SelectRow0(SelectRow1(@param0, <, 1, 44@Int), eqmax, 1), ['1'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '<', 'percent', 44], 'eqmax', 'percent'], ['percent']]
    # SelectCol(SelectRow0(SelectRow1(@param0, <, 1, 44@Int), eqmax, 1), ['-99', '-2'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '<', 'percent', 44], 'eqmax', 'percent'], ['percent']]
    # SelectCol(SelectRow0(SelectRow1(@param0, <=, 1, 31@Int), eqmax, 1), ['1'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '<=', 'percent', 31], 'eqmax', 'percent'], ['percent']]
    # SelectCol(SelectRow0(SelectRow1(@param0, <=, 1, 31@Int), eqmax, 1), ['-99', '-2'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '<=', 'percent', 31], 'eqmax', 'percent'], ['percent']]
    # SelectCol(SelectRow0(SelectRow1(@param0, >=, 1, 31@Int), eqmin, 1), ['1'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '>=', 'percent', 31], 'eqmin', 'percent'], ['percent']]
    # SelectCol(SelectRow0(SelectRow1(@param0, >=, 1, 31@Int), eqmin, 1), ['-99', '-2'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '>=', 'percent', 31], 'eqmin', 'percent'], ['percent']]
    # SelectCol(SelectRow0(SelectRow1(@param0, >, 1, 23@Int), eqmin, 1), ['1'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '>', 'percent', 23], 'eqmin', 'percent'], ['percent']]
    # SelectCol(SelectRow0(SelectRow1(@param0, >, 1, 23@Int), eqmin, 1), ['-99', '-2'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '>', 'percent', 23], 'eqmin', 'percent'], ['percent']]
    # SelectCol(SelectRow0(SelectRow1(@param0, !=, 0, White@Str), eqmax, 1), ['1'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '!=', 'race', 'White'], 'eqmax', 'percent'], ['percent']]
    # SelectCol(SelectRow0(SelectRow1(@param0, !=, 0, White@Str), eqmax, 1), ['-99', '-2'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '!=', 'race', 'White'], 'eqmax', 'percent'], ['percent']]
    # SelectCol(SelectRow0(SelectRow1(@param0, !=, 0, Latino@Str), eqmin, 1), ['1'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '!=', 'race', 'Latino'], 'eqmin', 'percent'], ['percent']]
    # SelectCol(SelectRow0(SelectRow1(@param0, !=, 0, Latino@Str), eqmin, 1), ['-99', '-2'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '!=', 'race', 'Latino'], 'eqmin', 'percent'], ['percent']]
    # SelectCol(SelectRow0(SelectRow1(@param0, !=, 1, 44@Int), eqmax, 1), ['1'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '!=', 'percent', 44], 'eqmax', 'percent'], ['percent']]
    # SelectCol(SelectRow0(SelectRow1(@param0, !=, 1, 44@Int), eqmax, 1), ['-99', '-2'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '!=', 'percent', 44], 'eqmax', 'percent'], ['percent']]
    # SelectCol(SelectRow0(SelectRow1(@param0, !=, 1, 23@Int), eqmin, 1), ['1'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '!=', 'percent', 23], 'eqmin', 'percent'], ['percent']]
    # SelectCol(SelectRow0(SelectRow1(@param0, !=, 1, 23@Int), eqmin, 1), ['-99', '-2'])
      --> ['SelectCol', ['SelectRow0', ['SelectRow1', 'input@0', '!=', 'percent', 23], 'eqmin', 'percent'], ['percent']]
    # SelectCol(SelectRow1(SelectRow1(@param0, <, 1, 44@Int), ==, 0, African American@Str), ['1'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '<', 'percent', 44], '==', 'race', 'African American'], ['percent']]
    # SelectCol(SelectRow1(SelectRow1(@param0, <, 1, 44@Int), ==, 0, African American@Str), ['-99', '-2'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '<', 'percent', 44], '==', 'race', 'African American'], ['percent']]
    # SelectCol(SelectRow1(SelectRow1(@param0, <, 1, 44@Int), ==, 1, 31@Int), ['1'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '<', 'percent', 44], '==', 'percent', 31], ['percent']]
    # SelectCol(SelectRow1(SelectRow1(@param0, <, 1, 44@Int), ==, 1, 31@Int), ['-99', '-2'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '<', 'percent', 44], '==', 'percent', 31], ['percent']]
    # SelectCol(SelectRow1(SelectRow1(@param0, <, 1, 44@Int), >=, 1, 31@Int), ['1'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '<', 'percent', 44], '>=', 'percent', 31], ['percent']]
    # SelectCol(SelectRow1(SelectRow1(@param0, <, 1, 44@Int), >=, 1, 31@Int), ['-99', '-2'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '<', 'percent', 44], '>=', 'percent', 31], ['percent']]
    # SelectCol(SelectRow1(SelectRow1(@param0, <, 1, 44@Int), >, 1, 23@Int), ['1'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '<', 'percent', 44], '>', 'percent', 23], ['percent']]
    # SelectCol(SelectRow1(SelectRow1(@param0, <, 1, 44@Int), >, 1, 23@Int), ['-99', '-2'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '<', 'percent', 44], '>', 'percent', 23], ['percent']]
    # SelectCol(SelectRow1(SelectRow1(@param0, <, 1, 44@Int), !=, 0, Latino@Str), ['1'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '<', 'percent', 44], '!=', 'race', 'Latino'], ['percent']]
    # SelectCol(SelectRow1(SelectRow1(@param0, <, 1, 44@Int), !=, 0, Latino@Str), ['-99', '-2'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '<', 'percent', 44], '!=', 'race', 'Latino'], ['percent']]
    # SelectCol(SelectRow1(SelectRow1(@param0, <, 1, 44@Int), !=, 1, 23@Int), ['1'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '<', 'percent', 44], '!=', 'percent', 23], ['percent']]
    # SelectCol(SelectRow1(SelectRow1(@param0, <, 1, 44@Int), !=, 1, 23@Int), ['-99', '-2'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '<', 'percent', 44], '!=', 'percent', 23], ['percent']]
    # SelectCol(SelectRow1(SelectRow1(@param0, <=, 1, 44@Int), ==, 0, African American@Str), ['1'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '<=', 'percent', 44], '==', 'race', 'African American'], ['percent']]
    # SelectCol(SelectRow1(SelectRow1(@param0, <=, 1, 44@Int), ==, 0, African American@Str), ['-99', '-2'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '<=', 'percent', 44], '==', 'race', 'African American'], ['percent']]
    # SelectCol(SelectRow1(SelectRow1(@param0, <=, 1, 44@Int), ==, 1, 31@Int), ['1'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '<=', 'percent', 44], '==', 'percent', 31], ['percent']]
    # SelectCol(SelectRow1(SelectRow1(@param0, <=, 1, 44@Int), ==, 1, 31@Int), ['-99', '-2'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '<=', 'percent', 44], '==', 'percent', 31], ['percent']]
    # SelectCol(SelectRow1(SelectRow1(@param0, <=, 1, 31@Int), ==, 0, African American@Str), ['1'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '<=', 'percent', 31], '==', 'race', 'African American'], ['percent']]
    # SelectCol(SelectRow1(SelectRow1(@param0, <=, 1, 31@Int), ==, 0, African American@Str), ['-99', '-2'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '<=', 'percent', 31], '==', 'race', 'African American'], ['percent']]
    # SelectCol(SelectRow1(SelectRow1(@param0, <=, 1, 31@Int), ==, 1, 31@Int), ['1'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '<=', 'percent', 31], '==', 'percent', 31], ['percent']]
    # SelectCol(SelectRow1(SelectRow1(@param0, <=, 1, 31@Int), ==, 1, 31@Int), ['-99', '-2'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '<=', 'percent', 31], '==', 'percent', 31], ['percent']]
    # SelectCol(SelectRow1(SelectRow1(@param0, <=, 1, 31@Int), >=, 1, 31@Int), ['1'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '<=', 'percent', 31], '>=', 'percent', 31], ['percent']]
    # SelectCol(SelectRow1(SelectRow1(@param0, <=, 1, 31@Int), >=, 1, 31@Int), ['-99', '-2'])
