# parsed arguments: Namespace(benchmark='Q0e552', dsl='meta_visqa', skeletons='visqa_normal', strategy='TaPas_C', fallback='auto', timeout=300, mode='full', expected_only=False)
# loading benchmark...
# table keywords: {'60.43333', '88.03334', '47.93333', 'yellow', '56.3', '66.7', '73.39999', '65.63333', 'red', 'rapids', '85.76667', '53.9', '51.63334', 'velvet', '87.63333', '63.9', '50.6', '84.59999', 'glabron', 'waseca', '475', '64.96666', '76.63334', '80.0', 'site', '90.4', '69.70001', 'peatland', '457', '61.46667', '77.3', '34.93333', '462', '60.93333', 'green', 'blue', '113.0666', 'variety', '55.1', '66.83333', '72.23334', '60.8', '73.06667', '55.26666', 'orange', '48.76667', '46.3', 'morris', '64.53333', 'yield', '55.13334', 'duluth', '92.93333', '54.66667', 'crookston', 'wisconsin', 'color', '79.86666', 'manchuria', '62.16667', '77.36667', '110.4667', 'teal', '38', '116.96667', '43.56666', '88.76666', '51.53334', 'sum', 'farm', '100.3', '60.83334', '64.3', '55.53334', '62.56667', '76.23333', 'grand', '50.4', '79.09999', 'no.', '72.9', 'trebi', 'university', '44.83334', 'svansota', '63.36667', '82.33334', '85.83333', '61.1', '61.8'}
# input type: [dtype('O'), dtype('O'), dtype('float64'), dtype('O')]
# input is:
             variety             site  Sum of yield   color
0          Manchuria  University Farm      53.90000   green
1          Manchuria           Waseca      82.33334  yellow
2          Manchuria           Morris      61.80000    teal
3          Manchuria        Crookston      72.90000    blue
4          Manchuria     Grand Rapids      55.10000     red
5          Manchuria           Duluth      51.53334  orange
6            Glabron  University Farm      79.86666   green
7            Glabron           Waseca      92.93333  yellow
8            Glabron           Morris      63.90000    teal
9            Glabron        Crookston      64.30000    blue
10           Glabron     Grand Rapids      43.56666     red
11           Glabron           Duluth      55.53334  orange
12          Svansota  University Farm      62.56667   green
13          Svansota           Waseca      85.83333  yellow
14          Svansota           Morris      60.80000    teal
15          Svansota        Crookston      61.10000    blue
16          Svansota     Grand Rapids      46.30000     red
17          Svansota           Duluth      47.93333  orange
18            Velvet  University Farm      66.70000   green
19            Velvet           Waseca      87.63333  yellow
20            Velvet           Morris      64.96666    teal
21            Velvet        Crookston      73.39999    blue
22            Velvet     Grand Rapids      55.26666     red
23            Velvet           Duluth      48.76667  orange
24             Trebi  University Farm      65.63333   green
25             Trebi           Waseca     113.06660  yellow
26             Trebi           Morris      90.40000    teal
27             Trebi        Crookston      88.76666    blue
28             Trebi     Grand Rapids      50.40000     red
29             Trebi           Duluth      64.53333  orange
30           No. 457  University Farm      69.70001   green
31           No. 457           Waseca     100.30000  yellow
32           No. 457           Morris      72.23334    teal
33           No. 457        Crookston      80.00000    blue
34           No. 457     Grand Rapids      51.63334     red
35           No. 457           Duluth      56.30000  orange
36           No. 462  University Farm      62.16667   green
37           No. 462           Waseca     110.46670  yellow
38           No. 462           Morris      77.36667    teal
39           No. 462        Crookston      79.09999    blue
40           No. 462     Grand Rapids      44.83334     red
41           No. 462           Duluth      50.60000  orange
42          Peatland  University Farm      60.83334   green
43          Peatland           Waseca      84.59999  yellow
44          Peatland           Morris      73.06667    teal
45          Peatland        Crookston      66.83333    blue
46          Peatland     Grand Rapids      61.46667     red
47          Peatland           Duluth      63.36667  orange
48           No. 475  University Farm      54.66667   green
49           No. 475           Waseca      88.03334  yellow
50           No. 475           Morris      66.83333    teal
51           No. 475        Crookston      76.23333    blue
52           No. 475     Grand Rapids      34.93333     red
53           No. 475           Duluth      60.43333  orange
54  Wisconsin No. 38  University Farm      77.30000   green
55  Wisconsin No. 38           Waseca     116.96667  yellow
56  Wisconsin No. 38           Morris      76.63334    teal
57  Wisconsin No. 38        Crookston      85.76667    blue
58  Wisconsin No. 38     Grand Rapids      55.13334     red
59  Wisconsin No. 38           Duluth      60.93333  orange
# query is: How much Trebi was grown at Waseca?
# expected output type:[dtype('float64')]
# expected output is:
     ANSWER
0  113.0666
# inferred DSL terminals:
  # ConstVal: ['Trebi@Str', 'Waseca@Str', '<NULL>']
     # cmap: [('waseca', 'Waseca'), ('trebi', 'Trebi')]
  # AggrFunc: ['<NULL>']
     # amap: []
  # NumFunc: ['<NULL>']
     # nmap: []
  # BoolFunc: ['==', '<NULL>']
     # bmap: [(None, '==')]
  # IndFunc: ['<NULL>']
     # imap: []
# loading skeleton list...

# ========== candidate program report ========== #
# (t=0.00) i=0, candidate=[{'ANSWER': 84.59999}]
  # found 0 program(s)
# (t=1.22) i=1, candidate=[{'ANSWER': 65.63333}]
  # found 0 program(s)
# (t=2.42) i=2, candidate=[{'ANSWER': 53.9}]
  # found 0 program(s)
# (t=3.62) i=3, candidate=[{'ANSWER': 50.4}]
  # found 0 program(s)
# (t=4.81) i=4, candidate=[{'ANSWER': 113.0666}]
  # found 2 program(s)
    # SelectCol(SelectRow1(SelectRow1(@param0, ==, 0, Trebi@Str), ==, 1, Waseca@Str), ['2'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '==', 'variety', 'Trebi'], '==', 'site', 'Waseca'], ['Sum of yield']]
    # SelectCol(SelectRow1(SelectRow1(@param0, ==, 1, Waseca@Str), ==, 0, Trebi@Str), ['2'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '==', 'site', 'Waseca'], '==', 'variety', 'Trebi'], ['Sum of yield']]
# (t=6.02) i=5, candidate=[{'ANSWER': 88.76666}]
  # found 0 program(s)
# (t=7.22) i=6, candidate=[{'ANSWER': 64.53333}]
  # found 0 program(s)
# (t=8.42) i=7, candidate=[{'ANSWER': 82.33334}]
  # found 0 program(s)
# (t=9.62) i=8, candidate=[{'ANSWER': 92.93333}]
  # found 0 program(s)
# (t=10.83) i=9, candidate=[{'ANSWER': 90.4}]
  # found 0 program(s)
# (t=12.03) i=10, candidate=[{'ANSWER': 100.3}]
  # found 0 program(s)
# (t=13.23) i=11, candidate=[{'ANSWER': 110.4667}]
  # found 0 program(s)
# (t=14.43) i=12, candidate=[{'ANSWER': 87.63333}]
  # found 0 program(s)
# (t=15.63) i=13, candidate=[{'ANSWER': 85.83333}]
  # found 0 program(s)
# (t=16.82) i=14, candidate=[{'ANSWER': 77.3}]
  # found 0 program(s)
# (t=18.01) i=15, candidate=[{'ANSWER': 51.63334}]
  # found 0 program(s)
# (t=19.21) i=16, candidate=[{'ANSWER': 88.03334}]
  # found 0 program(s)
# (t=20.40) i=17, candidate=[{'ANSWER': 116.96667}]
  # found 0 program(s)
# (t=21.60) i=18, candidate=[{'ANSWER': 66.83333}]
  # found 0 program(s)
# (t=22.80) i=19, candidate=[{'ANSWER': 61.46667}]
  # found 0 program(s)
# (t=24.00) i=20, candidate=[{'ANSWER': 55.13334}]
  # found 0 program(s)
# (t=25.20) i=21, candidate=[{'ANSWER': 60.93333}]
  # found 0 program(s)
# (t=26.39) i=22, candidate=[{'ANSWER': 50.6}]
  # found 0 program(s)
# (t=27.59) i=23, candidate=[{'ANSWER': 73.06667}]
  # found 0 program(s)
# (t=28.79) i=24, candidate=[{'ANSWER': 34.93333}]
  # found 0 program(s)
# (t=29.98) i=25, candidate=[{'ANSWER': 72.9}]
  # found 0 program(s)
