# parsed arguments: Namespace(benchmark='Q4b6d5', dsl='meta_visqa', skeletons='visqa_normal', strategy='TaPas_C', fallback='auto', timeout=300, mode='full', expected_only=False)
# loading benchmark...
# table keywords: {'percentage', 'shrinking', 'catholics', 'orange', 'mormons', '3', 'orthodox', 'christian', 'same', '61', '17', 'am.', '7', '13', '34', 'hindus', '6', '42', '65', '14', '51', '67', 'growing', 'growth?', 'color', 'buddhists', 'other', 'muslims', '73', 'non-christian', '8', '12', '20', '37', 'jews', '19', 'native', 'spirituality', 'pagan/earth-based', '1', 'religion', '11', '63', '47', 'blue', '68', 'red', '49', '24', 'protestants', '10', 'unaffiliated', 'staying'}
# input type: [dtype('O'), dtype('O'), dtype('int64'), dtype('O')]
# input is:
                   Religion           Growth?  Percentage   color
0                   Muslims           Growing          51    blue
1                   Muslims  Staying the same          37     red
2                   Muslims         Shrinking           7  orange
3               Protestants           Growing          47    blue
4               Protestants  Staying the same          42     red
5               Protestants         Shrinking           6  orange
6         Pagan/earth-based           Growing          34    blue
7         Pagan/earth-based  Staying the same          49     red
8         Pagan/earth-based         Shrinking           8  orange
9   Native Am. Spirituality           Growing          24    blue
10  Native Am. Spirituality  Staying the same          61     red
11  Native Am. Spirituality         Shrinking           6  orange
12                     Jews           Growing          19    blue
13                     Jews  Staying the same          61     red
14                     Jews         Shrinking           8  orange
15                Catholics           Growing          14    blue
16                Catholics  Staying the same          61     red
17                Catholics         Shrinking          20  orange
18             Unaffiliated           Growing          12    blue
19             Unaffiliated  Staying the same          63     red
20             Unaffiliated         Shrinking          17  orange
21      Other non-Christian           Growing          13    blue
22      Other non-Christian  Staying the same          65     red
23      Other non-Christian         Shrinking           8  orange
24                Buddhists           Growing          12    blue
25                Buddhists  Staying the same          67     red
26                Buddhists         Shrinking           8  orange
27                  Mormons           Growing           3    blue
28                  Mormons  Staying the same          68     red
29                  Mormons         Shrinking          11  orange
30       Orthodox Christian           Growing           3    blue
31       Orthodox Christian  Staying the same          68     red
32       Orthodox Christian         Shrinking          10  orange
33                   Hindus           Growing           1    blue
34                   Hindus  Staying the same          73     red
35                   Hindus         Shrinking           8  orange
# query is: What is the percentage of blue Buddhists?
# expected output type:[dtype('int64')]
# expected output is:
   ANSWER
0      12
# inferred DSL terminals:
  # ConstVal: ['blue@Str', 'Percentage@Str', '<NULL>']
     # cmap: [('blue', 'blue'), ('percentage', 'Percentage')]
  # AggrFunc: ['<NULL>']
     # amap: []
  # NumFunc: ['<NULL>']
     # nmap: []
  # BoolFunc: ['==', '<NULL>']
     # bmap: [(None, '==')]
  # IndFunc: ['<NULL>']
     # imap: []
# loading skeleton list...

# ========== candidate program report ========== #
# (t=0.00) i=0, candidate=[{'ANSWER': 12}]
  # found 0 program(s)
# (t=0.91) i=1, candidate=[{'ANSWER': 67}]
  # found 0 program(s)
# (t=1.82) i=2, candidate=[{'ANSWER': 51}]
  # found 0 program(s)
# (t=2.72) i=3, candidate=[{'ANSWER': 8}]
  # found 0 program(s)
# (t=3.63) i=4, candidate=[{'ANSWER': 3}]
  # found 0 program(s)
# (t=4.54) i=5, candidate=[{'ANSWER': 47}]
  # found 0 program(s)
# (t=5.45) i=6, candidate=[{'ANSWER': 34}]
  # found 0 program(s)
# (t=6.36) i=7, candidate=[{'ANSWER': 1}]
  # found 0 program(s)
# (t=7.27) i=8, candidate=[{'ANSWER': 19}]
  # found 0 program(s)
# (t=8.18) i=9, candidate=[{'ANSWER': 24}]
  # found 0 program(s)
# (t=9.09) i=10, candidate=[{'ANSWER': 37}]
  # found 0 program(s)
# ====> fallback strategy (retrieval) is triggered because no explanation is found so far
# ====> retrieval_values: [1, 10, 11, 12, 13, 14, 17, 19, 20, 24, 3, 34, 37, 42, 47, 49, 51, 6, 61, 63, 65, 67, 68, 7, 73, 8, 'Buddhists', 'Catholics', 'Growing', 'Growth?', 'Hindus', 'Jews', 'Mormons', 'Muslims', 'Native Am. Spirituality', 'Orthodox Christian', 'Other non-Christian', 'Pagan/earth-based', 'Percentage', 'Protestants', 'Religion', 'Shrinking', 'Staying the same', 'Unaffiliated', 'blue', 'color', 'orange', 'red']
# (t=9.99) fallback i=0, candidate=[{'ANSWER': 1}]
  # found 0 program(s)
