# parsed arguments: Namespace(benchmark='Q71e80', dsl='meta_visqa', skeletons='visqa_normal', strategy='TaPas_C', fallback='auto', timeout=300, mode='full', expected_only=False)
# loading benchmark...
# table keywords: {'university', '90.4', '55.26666', 'yield', '38', '61.8', '66.7', '72.23334', '73.39999', '62.16667', '64.3', '85.83333', '462', 'site', '50.4', '47.93333', '61.1', '51.63334', '44.83334', 'variety', '475', '80.0', '76.23333', 'blue', 'sum', 'farm', '55.13334', 'svansota', '60.8', '64.96666', 'teal', '79.86666', 'morris', '62.56667', 'no.', '63.9', '46.3', '61.46667', '77.36667', '60.83334', '72.9', '48.76667', '79.09999', '84.59999', '85.76667', '76.63334', 'manchuria', 'duluth', '60.93333', '73.06667', '87.63333', '55.1', '457', '77.3', 'peatland', '60.43333', 'yellow', '43.56666', '116.96667', '100.3', 'wisconsin', '92.93333', '69.70001', '64.53333', '56.3', '55.53334', '51.53334', '66.83333', '88.76666', 'rapids', 'red', '54.66667', 'orange', 'trebi', '65.63333', 'glabron', '113.0666', 'grand', 'green', '34.93333', '110.4667', 'waseca', 'color', 'crookston', '50.6', '88.03334', '82.33334', '63.36667', 'velvet', '53.9'}
# input type: [dtype('O'), dtype('O'), dtype('float64'), dtype('O')]
# input is:
             variety             site  Sum of yield   color
0          Manchuria  University Farm      53.90000   green
1          Manchuria           Waseca      82.33334  yellow
2          Manchuria           Morris      61.80000    teal
3          Manchuria        Crookston      72.90000    blue
4          Manchuria     Grand Rapids      55.10000     red
5          Manchuria           Duluth      51.53334  orange
6            Glabron  University Farm      79.86666   green
7            Glabron           Waseca      92.93333  yellow
8            Glabron           Morris      63.90000    teal
9            Glabron        Crookston      64.30000    blue
10           Glabron     Grand Rapids      43.56666     red
11           Glabron           Duluth      55.53334  orange
12          Svansota  University Farm      62.56667   green
13          Svansota           Waseca      85.83333  yellow
14          Svansota           Morris      60.80000    teal
15          Svansota        Crookston      61.10000    blue
16          Svansota     Grand Rapids      46.30000     red
17          Svansota           Duluth      47.93333  orange
18            Velvet  University Farm      66.70000   green
19            Velvet           Waseca      87.63333  yellow
20            Velvet           Morris      64.96666    teal
21            Velvet        Crookston      73.39999    blue
22            Velvet     Grand Rapids      55.26666     red
23            Velvet           Duluth      48.76667  orange
24             Trebi  University Farm      65.63333   green
25             Trebi           Waseca     113.06660  yellow
26             Trebi           Morris      90.40000    teal
27             Trebi        Crookston      88.76666    blue
28             Trebi     Grand Rapids      50.40000     red
29             Trebi           Duluth      64.53333  orange
30           No. 457  University Farm      69.70001   green
31           No. 457           Waseca     100.30000  yellow
32           No. 457           Morris      72.23334    teal
33           No. 457        Crookston      80.00000    blue
34           No. 457     Grand Rapids      51.63334     red
35           No. 457           Duluth      56.30000  orange
36           No. 462  University Farm      62.16667   green
37           No. 462           Waseca     110.46670  yellow
38           No. 462           Morris      77.36667    teal
39           No. 462        Crookston      79.09999    blue
40           No. 462     Grand Rapids      44.83334     red
41           No. 462           Duluth      50.60000  orange
42          Peatland  University Farm      60.83334   green
43          Peatland           Waseca      84.59999  yellow
44          Peatland           Morris      73.06667    teal
45          Peatland        Crookston      66.83333    blue
46          Peatland     Grand Rapids      61.46667     red
47          Peatland           Duluth      63.36667  orange
48           No. 475  University Farm      54.66667   green
49           No. 475           Waseca      88.03334  yellow
50           No. 475           Morris      66.83333    teal
51           No. 475        Crookston      76.23333    blue
52           No. 475     Grand Rapids      34.93333     red
53           No. 475           Duluth      60.43333  orange
54  Wisconsin No. 38  University Farm      77.30000   green
55  Wisconsin No. 38           Waseca     116.96667  yellow
56  Wisconsin No. 38           Morris      76.63334    teal
57  Wisconsin No. 38        Crookston      85.76667    blue
58  Wisconsin No. 38     Grand Rapids      55.13334     red
59  Wisconsin No. 38           Duluth      60.93333  orange
# query is: How much Glabron was grown in Grand Rapids?
# expected output type:[dtype('float64')]
# expected output is:
     ANSWER
0  43.56666
# inferred DSL terminals:
  # ConstVal: ['Grand Rapids@Str', 'Glabron@Str', '<NULL>']
     # cmap: [('glabron', 'Glabron'), ('rapids', 'Grand Rapids'), ('grand', 'Grand Rapids')]
  # AggrFunc: ['<NULL>']
     # amap: []
  # NumFunc: ['<NULL>']
     # nmap: []
  # BoolFunc: ['==', '<NULL>']
     # bmap: [(None, '==')]
  # IndFunc: ['<NULL>']
     # imap: []
# loading skeleton list...

# ========== candidate program report ========== #
# (t=0.00) i=0, candidate=[{'ANSWER': 43.56666}]
  # found 2 program(s)
    # SelectCol(SelectRow1(SelectRow1(@param0, ==, 0, Glabron@Str), ==, 1, Grand Rapids@Str), ['2'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '==', 'variety', 'Glabron'], '==', 'site', 'Grand Rapids'], ['Sum of yield']]
    # SelectCol(SelectRow1(SelectRow1(@param0, ==, 1, Grand Rapids@Str), ==, 0, Glabron@Str), ['2'])
      --> ['SelectCol', ['SelectRow1', ['SelectRow1', 'input@0', '==', 'site', 'Grand Rapids'], '==', 'variety', 'Glabron'], ['Sum of yield']]
# (t=1.27) i=1, candidate=[{'ANSWER': 55.26666}]
  # found 0 program(s)
# (t=2.52) i=2, candidate=[{'ANSWER': 64.3}]
  # found 0 program(s)
# (t=3.78) i=3, candidate=[{'ANSWER': 44.83334}]
  # found 0 program(s)
# (t=5.07) i=4, candidate=[{'ANSWER': 46.3}]
  # found 0 program(s)
# (t=6.35) i=5, candidate=[{'ANSWER': 63.9}]
  # found 0 program(s)
# (t=7.66) i=6, candidate=[{'ANSWER': 92.93333}]
  # found 0 program(s)
# (t=8.94) i=7, candidate=[{'ANSWER': 55.53334}]
  # found 0 program(s)
# (t=10.22) i=8, candidate=[{'ANSWER': 79.86666}]
  # found 0 program(s)
# (t=11.49) i=9, candidate=[{'ANSWER': 51.63334}]
  # found 0 program(s)
# (t=12.77) i=10, candidate=[{'ANSWER': 50.4}]
  # found 0 program(s)
# (t=14.06) i=11, candidate=[{'ANSWER': 55.1}]
  # found 0 program(s)
# (t=15.39) i=12, candidate=[{'ANSWER': 34.93333}]
  # found 0 program(s)
# (t=16.74) i=13, candidate=[{'ANSWER': 76.63334}]
  # found 0 program(s)
# (t=18.02) i=14, candidate=[{'ANSWER': 61.46667}]
  # found 0 program(s)
# (t=19.29) i=15, candidate=[{'ANSWER': 54.66667}]
  # found 0 program(s)
# (t=20.56) i=16, candidate=[{'ANSWER': 53.9}]
  # found 0 program(s)
# (t=21.80) i=17, candidate=[{'ANSWER': 55.13334}]
  # found 0 program(s)
# (t=23.05) i=18, candidate=[{'ANSWER': 82.33334}]
  # found 0 program(s)
# (t=24.31) i=19, candidate=[{'ANSWER': 77.3}]
  # found 0 program(s)
# (t=25.56) i=20, candidate=[{'ANSWER': 76.23333}]
  # found 0 program(s)
# (t=26.81) i=21, candidate=[{'ANSWER': 66.83333}]
  # found 0 program(s)
# (t=28.08) i=22, candidate=[{'ANSWER': 60.93333}]
  # found 0 program(s)
# (t=29.49) i=23, candidate=[{'ANSWER': 72.9}]
  # found 0 program(s)
# (t=30.83) i=24, candidate=[{'ANSWER': 51.53334}]
  # found 0 program(s)
# (t=32.10) i=25, candidate=[{'ANSWER': 61.8}]
